N,probability
1,0
2, 0.273973
3, 0.820417
4, 1.63559
5, 2.71356
6, 4.04625
7, 5.62357
8, 7.43353
9, 9.46238
10, 11.6948
11, 14.1141
12, 16.7025
13, 19.441
14, 22.3103
15, 25.2901
16, 28.3604
17, 31.5008
18, 34.6911
19, 37.9119
20, 41.1438
21, 44.3688
22, 47.5695
23, 50.7297
24, 53.8344
25, 56.87
26, 59.8241
27, 62.6859
28, 65.4461
29, 68.0969
30, 70.6316
31, 73.0455
32, 75.3348
33, 77.4972
34, 79.5317
35, 81.4383
36, 83.2182
37, 84.8734
38, 86.4068
39, 87.822
40, 89.1232
41, 90.3152
42, 91.403
43, 92.3923
44, 93.2885
45, 94.0976
46, 94.8253
47, 95.4774
48, 96.0598
49, 96.578
50, 97.0374
51, 97.4432
52, 97.8005
53, 98.1138
54, 98.3877
55, 98.6262
56, 98.8332
57, 99.0122
58, 99.1665
59, 99.2989
60, 99.4123
61, 99.5089
62, 99.591
63, 99.6604
64, 99.719
65, 99.7683
66, 99.8096
67, 99.844
68, 99.8726
69, 99.8964
70, 99.916
71, 99.9321
72, 99.9453
73, 99.9561
74, 99.9649
75, 99.972
76, 99.9777
77, 99.9824
78, 99.9861
79, 99.9891
80, 99.9914
81, 99.9933
82, 99.9948
83, 99.996
84, 99.9969
85, 99.9976
86, 99.9982
87, 99.9986
88, 99.9989
89, 99.9992
90, 99.9994
91, 99.9995
92, 99.9997
93, 99.9997
94, 99.9998
95, 99.9999
96, 99.9999
97, 99.9999
98, 99.9999
99, 100.0
100, 100.0
